ID,ANO,RELATOR,CLASSE
353,1541733,1996,MIN. SYDNEY SANCHES,AI
354,1541846,1996,MIN. NÉRI DA SILVEIRA,AI
355,1541872,1996,MIN. PAULO BROSSARD,AI
356,1541968,1996,MIN. OCTAVIO GALLOTTI,MS
357,1542093,1996,MIN. MARCO AURÉLIO,ADI
358,1542187,1996,MINISTRA PRESIDENTE,SE
359,1542874,1996,MIN. CELSO DE MELLO,AI
360,1543628,1996,MIN. CELSO DE MELLO,AI
361,1543692,1996,MIN. CELSO DE MELLO,RE
362,1543869,1996,MIN. ILMAR GALVÃO,RE
363,1544200,1996,MIN. SYDNEY SANCHES,AI
364,1544272,1996,MIN. MAURÍCIO CORRÊA,AI
365,1545026,1996,MIN. NÉRI DA SILVEIRA,AI
366,1545070,1996,MIN. NÉRI DA SILVEIRA,RE
367,1545111,1996,MIN. NÉRI DA SILVEIRA,RE
368,1545119,1996,MIN. CELSO DE MELLO,RE
369,1545134,1996,MIN. MOREIRA ALVES,RE
370,1545238,1996,MIN. ILMAR GALVÃO,RE
371,1545301,1996,MIN. CELSO DE MELLO,AI
372,1545365,1996,MIN. NÉRI DA SILVEIRA,RE
373,1545424,1996,MIN. SEPÚLVEDA PERTENCE,RE
374,1545441,1996,MIN. CARLOS VELLOSO,RE
375,1545552,1996,MIN. NÉRI DA SILVEIRA,AI
376,1545577,1996,MIN. MARCO AURÉLIO,RE
377,1545633,1996,MIN. CELSO DE MELLO,AI
378,1545679,1996,MIN. ILMAR GALVÃO,RE
379,1545835,1996,MIN. ILMAR GALVÃO,RE
380,1545844,1996,MIN. MARCO AURÉLIO,RE
381,1545855,1996,MIN. ILMAR GALVÃO,RE
382,1545903,1996,MIN. NÉRI DA SILVEIRA,AI
383,1545910,1996,MIN. CARLOS VELLOSO,RE
384,1545927,1996,MIN. NÉRI DA SILVEIRA,RE
385,1545958,1996,MIN. FRANCISCO REZEK,RE
386,1546006,1996,MIN. SYDNEY SANCHES,RE
387,1546096,1996,MIN. MARCO AURÉLIO,RE
388,1546117,1996,MIN. NÉRI DA SILVEIRA,RE
389,1546137,1996,MIN. FRANCISCO REZEK,AI
390,1546148,1996,MIN. ILMAR GALVÃO,RE
391,1546191,1996,MIN. CARLOS VELLOSO,RE
392,1546210,1996,MIN. MOREIRA ALVES,RE
393,1546357,1996,MIN. NÉRI DA SILVEIRA,AI
394,1546469,1996,MIN. CELSO DE MELLO,AI
395,1546676,1996,MIN. NELSON JOBIM,AI
396,1546767,1996,MIN. NELSON JOBIM,AI
397,1546769,1996,MIN. CARLOS VELLOSO,AI
398,1547024,1996,MIN. PAULO BROSSARD,AI
399,1547114,1996,MIN. MARCO AURÉLIO,RE
400,1547502,1996,MIN. OCTAVIO GALLOTTI,MS
401,1547507,1996,MIN. NÉRI DA SILVEIRA,AI
402,1547624,1996,MIN. CELSO DE MELLO,AI
403,1547858,1996,MIN. OCTAVIO GALLOTTI,RE
404,1547948,1996,MIN. NÉRI DA SILVEIRA,AI
405,1548569,1996,MIN. SEPÚLVEDA PERTENCE,AI
406,1548702,1996,MIN. CELSO DE MELLO,RE
407,1548841,1996,MIN. NÉRI DA SILVEIRA,ADI
408,1548868,1996,MIN. ILMAR GALVÃO,RE
409,1548904,1996,MIN. CARLOS VELLOSO,RE
410,1548969,1996,MIN. ILMAR GALVÃO,RE
411,1548983,1996,MIN. MAURÍCIO CORRÊA,RE
412,1548984,1996,MIN. CARLOS VELLOSO,AI
413,1549038,1996,MIN. NÉRI DA SILVEIRA,RE
414,1549068,1996,MIN. CELSO DE MELLO,RE
415,1549166,1996,MIN. NÉRI DA SILVEIRA,RE
416,1549251,1996,MIN. CARLOS VELLOSO,AO
417,1549335,1996,MIN. MOREIRA ALVES,RE
418,1549396,1996,MIN. CARLOS VELLOSO,RE
419,1549595,1996,MIN. FRANCISCO REZEK,RE
420,1549894,1996,MIN. MOREIRA ALVES,AI
421,1549898,1996,MIN. MAURÍCIO CORRÊA,RE
422,1549940,1996,MIN. MOREIRA ALVES,RE
423,1549941,1996,MIN. CELSO DE MELLO,RE
424,1550062,1996,MIN. MOREIRA ALVES,RE
425,1550079,1996,MIN. MAURÍCIO CORRÊA,RE
426,1550112,1996,MIN. CELSO DE MELLO,RE
427,1550138,1996,MIN. CELSO DE MELLO,RE
428,1550227,1996,MIN. CARLOS VELLOSO,RE
429,1550301,1996,MIN. OCTAVIO GALLOTTI,RE
430,1550326,1996,MIN. OCTAVIO GALLOTTI,RE
431,1550328,1996,MIN. MAURÍCIO CORRÊA,RE
432,1550347,1996,MIN. FRANCISCO REZEK,RE
433,1550392,1996,MIN. CARLOS VELLOSO,RE
434,1550417,1996,MIN. SYDNEY SANCHES,AI
435,1550609,1996,MIN. ILMAR GALVÃO,ADI
436,1550649,1996,MIN. ILMAR GALVÃO,RE
437,1550752,1996,MIN. MAURÍCIO CORRÊA,RE
438,1550811,1996,MIN. MAURÍCIO CORRÊA,ADI
439,1550957,1996,MIN. CELSO DE MELLO,AI
440,1550966,1996,MIN. CARLOS VELLOSO,RE
441,1550979,1996,MIN. PAULO BROSSARD,AI
442,1551032,1996,MIN. PAULO BROSSARD,AI
443,1551117,1996,MIN. MOREIRA ALVES,AI
444,1551307,1996,MIN. CELSO DE MELLO,RE
445,1551311,1996,MIN. MAURÍCIO CORRÊA,RE
446,1551367,1996,MIN. ILMAR GALVÃO,RE
447,1551409,1996,MIN. CELSO DE MELLO,RE
448,1551420,1996,MINISTRA PRESIDENTE,SE
449,1551446,1996,MIN. CARLOS VELLOSO,RE
450,1551449,1996,MIN. CARLOS VELLOSO,RE
451,1551455,1996,MIN. CARLOS VELLOSO,RE
452,1551469,1996,MIN. FRANCISCO REZEK,RE
453,1551812,1996,MIN. MARCO AURÉLIO,RE
